article,word_count,non_stopword_count,non_stopword_percentage,stopword_count,stopword_percentage,avg_word_length,avg_sent_length,paragraph_count,common_words,readability_score
Second_Crusade,4901,2965,0.604978575800857,1936,0.39502142419914305,4.348908386043664,166.68627450980392,59,"[('crusade', 45), ('louis', 39), ('conrad', 31), ('jerusalem', 22), ('manuel', 21), ('would', 21), ('crusaders', 20), ('also', 18), ('ii', 18), ('army', 18)]",63.83
Navassa_Island,1931,1365,0.7068876229932677,566,0.29311237700673226,4.614189539098913,155.0144927536232,32,"[('island', 56), ('navassa', 31), ('guano', 10), ('islands', 9), ('haiti', 8), ('light', 8), ('american', 7), ('states', 7), ('jamaica', 7), ('since', 7)]",54.73
Evan_Rachel_Wood,1213,815,0.6718878812860676,398,0.3281121187139324,4.469084913437758,178.41666666666666,32,"[('wood', 31), ('role', 10), ('roles', 7), ('film', 7), ('films', 7), ('also', 7), ('september', 6), ('actress', 6), ('thirteen', 5), ('theatre', 5)]",52.33
Tropical_Storm_Henri_(2003),1846,1347,0.7296858071505958,499,0.2703141928494041,4.584507042253521,135.01351351351352,39,"[('henri', 28), ('storm', 23), ('tropical', 21), ('damage', 19), ('usd', 16), ('million', 14), ('september', 13), ('flooding', 13), ('rainfall', 12), ('florida', 10)]",55.24
Final_Fantasy_Adventure,1371,899,0.6557257476294676,472,0.34427425237053244,4.429613420860686,143.84313725490196,33,"[('game', 25), ('final', 18), ('fantasy', 18), ('released', 11), ('seiken', 11), ('densetsu', 11), ('mana', 10), ('character', 10), ('quest', 7), ('adventure', 6)]",58.82
Tornado,9706,6331,0.6522769420976715,3375,0.34772305790232844,4.452709664125283,126.45185185185186,181,"[('tornado', 201), ('tornadoes', 163), ('damage', 67), ('funnel', 33), ('scale', 29), ('ground', 28), ('winds', 28), ('cloud', 26), ('may', 26), ('storm', 26)]",52.19
John_W._Campbell,3829,2423,0.6328022982501958,1406,0.36719770174980415,4.367197701749804,157.53174603174602,46,"[('campbell', 66), ('science', 22), ('fiction', 21), ('stories', 19), ('astounding', 19), ('first', 18), ('story', 17), ('asimov', 16), ('writers', 15), ('issue', 15)]",58.72
Whooping_Crane,750,499,0.6653333333333333,251,0.33466666666666667,4.634666666666667,113.24324324324324,21,"[('birds', 13), ('whooping', 11), ('crane', 7), ('cranes', 7), ('population', 7), ('ultralight', 5), ('eggs', 4), ('parents', 4), ('young', 4), ('wild', 4)]",64.51
Shigin,798,536,0.6716791979949874,262,0.3283208020050125,4.647869674185464,145.93333333333334,29,"[('gin', 11), ('japanese', 10), ('shigin', 8), ('tone', 7), ('usually', 6), ('character', 4), ('enlarge', 4), ('poetry', 4), ('chinese', 4), ('characters', 4)]",49.86
Hafnium,1296,958,0.7391975308641975,338,0.26080246913580246,4.618827160493828,264.05405405405406,38,"[('hafnium', 28), ('zirconium', 12), ('metal', 10), ('hf', 9), ('k', 6), ('neutrons', 6), ('atomic', 5), ('properties', 5), ('stable', 5), ('nuclear', 5)]",44.95
